START TABLE: nc_placement_detail
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
NC_PLACEMENT_DETAIL	NC_PLACEMENT_ID	1	108	numeric	38
NC_PLACEMENT_DETAIL	IDNUM	0	108	numeric	38
NC_PLACEMENT_DETAIL	REF_DESIGNATOR	0	231	nvarchar	0
NC_PLACEMENT_DETAIL	PART_NAME	0	262	udt_part_no	0
NC_PLACEMENT_DETAIL	PATTERN_NUMBER	0	108	numeric	38
NC_PLACEMENT_DETAIL	NC_VERSION	0	108	numeric	38
NC_PLACEMENT_DETAIL	PATTERN_IDNUM	0	108	numeric	38
END METADATA:
START DATA:
NC_PLACEMENT_ID	IDNUM	REF_DESIGNATOR	PART_NAME	PATTERN_NUMBER	NC_VERSION	PATTERN_IDNUM
2000167	689	U2167	13E5-2167	1	148309	NULL
2000168	69	U2168	13E5-2168	1	148309	NULL
2000169	695	U2169	13E5-2169	1	148309	NULL
2000170	697	U2170	13E5-2170	1	148309	NULL
2000171	70	U2171	13E5-2171	1	148309	NULL
2000172	704	U2172	13E5-2172	1	148309	NULL
2000173	705	U2173	13E5-2173	1	148309	NULL
2000174	71	U2174	13E5-2174	1	148309	NULL
2000175	712	U2175	13E5-2175	1	148309	NULL
2000176	713	U2176	13E5-2176	1	148309	NULL
2000177	716	U2177	13E5-2177	1	148309	NULL
2000178	724	U2178	13E5-2178	1	148309	NULL
2000179	730	U2179	13E5-2179	1	148309	NULL
2000180	731	U2180	13E5-2180	1	148309	NULL
2000181	732	U2181	13E5-2181	1	148309	NULL
2000182	738	U2182	13E5-2182	1	148309	NULL
2000183	739	U2183	13E5-2183	1	148309	NULL
2000184	740	U2184	13E5-2184	1	148309	NULL
2000185	76	U2185	13E5-2185	1	148309	NULL
2000186	764	U2186	13E5-2186	1	148309	NULL
2000187	765	U2187	13E5-2187	1	148309	NULL
2000188	772	U2188	13E5-2188	1	148309	NULL
2000189	773	U2189	13E5-2189	1	148309	NULL
2000190	776	U2190	13E5-2190	1	148309	NULL
2000191	78	U2191	13E5-2191	1	148309	NULL
