START TABLE: tracking_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
TRACKING_DATA	SERIAL_NO	0	231	nvarchar	0
TRACKING_DATA	PROD_MODEL_NO	0	231	nvarchar	0
TRACKING_DATA	PANEL_ID	0	108	numeric	38
TRACKING_DATA	PATTERN_ID	0	108	numeric	38
TRACKING_DATA	BARCODE	0	231	nvarchar	0
TRACKING_DATA	SETUP_ID	0	108	numeric	38
TRACKING_DATA	TOP_BOTTOM	0	231	nvarchar	0
TRACKING_DATA	TIMESTAMP	0	56	int	10
TRACKING_DATA	IMPORT_FLAG	0	56	int	10
END METADATA:
START DATA:
SERIAL_NO	PROD_MODEL_NO	PANEL_ID	PATTERN_ID	BARCODE	SETUP_ID	TOP_BOTTOM	TIMESTAMP	IMPORT_FLAG
060200FZ38	A635BA	1191205	1191201	A635BA      060200FZ38	17256	T	1452273019	0
525726	 	1191206	1191202	 	17254	T	1452273019	0
060220FZ38	A635BA	1191207	1191203	A635BA      060220FZ38	17256	T	1452273019	0
525727	 	1191208	1191204	 	17254	T	1452273020	0
060230FZ38	A635BA	1191209	1191205	A635BA      060230FZ38	17256	T	1452273020	0
525728	 	1191210	1191206	 	17254	T	1452273020	0
060240FZ38	A635BA	1191211	1191207	A635BA      060240FZ38	17256	T	1452273020	0
525729	 	1191212	1191208	 	17254	T	1452273021	0
060260FZ38	A635BA	1191213	1191209	A635BA      060260FZ38	17256	T	1452273021	0
525730	 	1191214	1191210	 	17254	T	1452273021	0
060270FZ38	A635BA	1191215	1191211	A635BA      060270FZ38	17256	T	1452273021	0
525731	 	1191216	1191212	 	17254	T	1452273022	0
060280FZ38	A635BA	1191217	1191213	A635BA      060280FZ38	17256	T	1452273022	0
525732	 	1191218	1191214	 	17254	T	1452273022	0
060090FZ38	A635BA	1191219	1191215	A635BA      060090FZ38	17256	T	1452273022	0
525733	 	1191220	1191216	 	17254	T	1452273023	0
060100FZ38	A635BA	1191221	1191217	A635BA      060100FZ38	17256	T	1452273023	0
525734	 	1191222	1191218	 	17254	T	1452273023	0
060110FZ38	A635BA	1191223	1191219	A635BA      060110FZ38	17256	T	1452273023	0
525735	 	1191224	1191220	 	17254	T	1452273024	0
060120FZ38	A635BA	1191225	1191221	A635BA      060120FZ38	17256	T	1452273024	0
525736	 	1191226	1191222	 	17254	T	1452273024	0
060130FZ38	A635BA	1191227	1191223	A635BA      060130FZ38	17256	T	1452273024	0
525737	 	1191228	1191224	 	17254	T	1452273024	0
060140FZ38	A635BA	1191229	1191225	A635BA      060140FZ38	17256	T	1452273025	0
525738	 	1191230	1191226	 	17254	T	1452273025	0
060150FZ38	A635BA	1191231	1191227	A635BA      060150FZ38	17256	T	1452273070	0
525739	 	1191232	1191228	 	17254	T	1452273070	0
060160FZ38	A635BA	1191233	1191229	A635BA      060160FZ38	17256	T	1452273070	0
525740	 	1191234	1191230	 	17254	T	1452273070	0
060170FZ38	A635BA	1191235	1191231	A635BA      060170FZ38	17256	T	1452273071	0
525741	 	1191236	1191232	 	17254	T	1452273071	0
059990FZ38	A635BA	1191237	1191233	A635BA      059990FZ38	17256	T	1452273071	0
525742	 	1191238	1191234	 	17254	T	1452273071	0
060000FZ38	A635BA	1191239	1191235	A635BA      060000FZ38	17256	T	1452273072	0
525743	 	1191240	1191236	 	17254	T	1452273072	0
060010FZ38	A635BA	1191241	1191237	A635BA      060010FZ38	17256	T	1452273072	0
525744	 	1191242	1191238	 	17254	T	1452273072	0
060020FZ38	A635BA	1191243	1191239	A635BA      060020FZ38	17256	T	1452273073	0
525745	 	1191244	1191240	 	17254	T	1452273073	0
060040FZ38	A635BA	1191245	1191241	A635BA      060040FZ38	17256	T	1452273073	0
525746	 	1191246	1191242	 	17254	T	1452273073	0
060050FZ38	A635BA	1191247	1191243	A635BA      060050FZ38	17256	T	1452273074	0
525747	 	1191248	1191244	 	17254	T	1452273074	0
059780FZ38	A635BA	1191249	1191245	A635BA      059780FZ38	17256	T	1452273074	0
525748	 	1191250	1191246	 	17254	T	1452273074	0
059820FZ38	A635BA	1191251	1191247	A635BA      059820FZ38	17256	T	1452273075	0
525749	 	1191252	1191248	 	17254	T	1452273075	0
059960FZ38	A635BA	1191253	1191249	A635BA      059960FZ38	17256	T	1452273075	0
525750	 	1191254	1191250	 	17254	T	1452273075	0
060030FZ38	A635BA	1191255	1191251	A635BA      060030FZ38	17256	T	1452273076	0
525751	 	1191256	1191252	 	17254	T	1452273076	0
060180FZ38	A635BA	1191257	1191253	A635BA      060180FZ38	17256	T	1452273076	0
525752	 	1191258	1191254	 	17254	T	1452273076	0
060250FZ38	A635BA	1191259	1191255	A635BA      060250FZ38	17256	T	1452273076	0
525753	 	1191260	1191256	 	17254	T	1452273077	0
060210FZ38	A635BA	1191261	1191257	A635BA      060210FZ38	17256	T	1452273133	0
525754	 	1191262	1191258	 	17254	T	1452273133	0
060380FZ38	A635BA	1191263	1191259	A635BA      060380FZ38	17256	T	1452273134	0
525755	 	1191264	1191260	 	17254	T	1452273134	0
060310FZ38	A635BA	1191265	1191261	A635BA      060310FZ38	17256	T	1452273134	0
525756	 	1191266	1191262	 	17254	T	1452273134	0
060530FZ38	A635BA	1191267	1191263	A635BA      060530FZ38	17256	T	1452273135	0
525757	 	1191268	1191264	 	17254	T	1452273135	0
058940FZ38	A635BA	1191269	1191265	A635BA      058940FZ38	17256	T	1452273135	0
525758	 	1191270	1191266	 	17254	T	1452273135	0
059180FZ38	A635BA	1191271	1191267	A635BA      059180FZ38	17256	T	1452273135	0
525759	 	1191272	1191268	 	17254	T	1452273136	0
059170FZ38	A635BA	1191273	1191269	A635BA      059170FZ38	17256	T	1452273136	0
525760	 	1191274	1191270	 	17254	T	1452273136	0
059230FZ38	A635BA	1191275	1191271	A635BA      059230FZ38	17256	T	1452273136	0
525761	 	1191276	1191272	 	17254	T	1452273137	0
059190FZ38	A635BA	1191277	1191273	A635BA      059190FZ38	17256	T	1452273137	0
525762	 	1191278	1191274	 	17254	T	1452273137	0
059320FZ38	A635BA	1191279	1191275	A635BA      059320FZ38	17256	T	1452273137	0
525763	 	1191280	1191276	 	17254	T	1452273138	0
059300FZ38	A635BA	1191281	1191277	A635BA      059300FZ38	17256	T	1452273138	0
525764	 	1191282	1191278	 	17254	T	1452273138	0
059400FZ38	A635BA	1191283	1191279	A635BA      059400FZ38	17256	T	1452273138	0
525765	 	1191284	1191280	 	17254	T	1452273139	0
059520FZ38	A635BA	1191285	1191281	A635BA      059520FZ38	17256	T	1452273139	0
525766	 	1191286	1191282	 	17254	T	1452273139	0
054210FZ38	A635BA	1191287	1191283	A635BA      054210FZ38	17256	T	1452273139	0
525767	 	1191288	1191284	 	17254	T	1452273140	0
